epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.728,1.95788,4.17326,1.48802,0.01033,0.30559,0.06197,0.02924,1.30662,4.13934,1.05129,0.000249588,0.000249588,0.000249588
2,304.437,1.44528,2.7829,1.17259,0.69252,0.15238,0.26683,0.14134,1.37279,3.14621,1.11383,0.000455835,0.000455835,0.000455835
3,458.154,1.38318,2.13176,1.17131,0.40487,0.44205,0.4574,0.24174,1.35809,2.28828,1.15273,0.000611328,0.000611328,0.000611328
4,743.393,1.34161,1.84316,1.14448,0.45683,0.5789,0.53098,0.3062,1.2888,2.03221,1.1597,0.000540607,0.000540607,0.000540607
5,892.54,1.28674,1.65265,1.11153,0.60174,0.67573,0.66062,0.3949,1.26969,1.62744,1.15848,0.000464476,0.000464476,0.000464476
6,1044.67,1.24877,1.50106,1.09317,0.60692,0.72486,0.68187,0.41659,1.23342,1.49549,1.12207,0.000388345,0.000388345,0.000388345
7,1197.96,1.23882,1.41422,1.08318,0.6558,0.72922,0.72504,0.42832,1.25822,1.41834,1.12078,0.000312214,0.000312214,0.000312214
8,1357.84,1.1984,1.32005,1.0635,0.66765,0.72019,0.71928,0.43377,1.33497,1.45881,1.12117,0.000236083,0.000236083,0.000236083
9,1650,1.16042,1.25297,1.04769,0.71429,0.76245,0.78386,0.48828,1.22016,1.30415,1.09533,0.000159952,0.000159952,0.000159952
10,1848.42,1.13974,1.20251,1.0399,0.74434,0.77631,0.79757,0.48691,1.23422,1.25482,1.09769,8.3821e-05,8.3821e-05,8.3821e-05
