epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,869.544,1.34128,3.05351,1.46063,0.88193,0.17669,0.21767,0.10999,1.81249,3.85354,1.98408,0.000473878,0.000473878,0.000473878
2,1678.27,1.38009,1.93955,1.49285,0.57508,0.22371,0.2075,0.10101,1.99942,2.84127,2.08234,0.00085614,0.00085614,0.00085614
3,2521.62,1.36313,1.43229,1.48611,0.62631,0.25649,0.2563,0.13133,1.79575,2.31955,1.8681,0.00114409,0.00114409,0.00114409
4,3898.36,1.29432,1.18638,1.44139,0.70294,0.29402,0.3188,0.17279,1.80749,1.88009,1.82967,0.00100459,0.00100459,0.00100459
5,5444.38,1.24133,1.04696,1.39378,0.4172,0.35479,0.37617,0.20441,1.70089,1.77607,1.74648,0.000863116,0.000863116,0.000863116
6,6983.83,1.18281,0.98207,1.37691,0.76301,0.33494,0.37787,0.21031,1.64466,1.70712,1.68922,0.000721645,0.000721645,0.000721645
7,8523.42,1.11825,0.88951,1.33168,0.82833,0.40587,0.47398,0.26837,1.55242,1.54391,1.61894,0.000580174,0.000580174,0.000580174
8,10056.3,1.05534,0.81039,1.29298,0.50918,0.44841,0.48543,0.278,1.48727,1.47415,1.57457,0.000438703,0.000438703,0.000438703
9,11581.9,1.02044,0.76658,1.27416,0.63016,0.45715,0.53454,0.31472,1.43437,1.34357,1.52513,0.000297232,0.000297232,0.000297232
10,12719.6,0.98243,0.71567,1.24609,0.66472,0.51273,0.56255,0.33913,1.37782,1.23627,1.46887,0.000155761,0.000155761,0.000155761
